timestamp,role,experience,usage_frequency,devices,workflows_used,workflows_used_count,workflow_to_improve,workflow_category,workflow_frequency,steps_estimate,steps_numeric,intrinsic_difficulty,extraneous_difficulty,task_time,task_time_seconds,friction_points,friction_tags,stuck_point,stuck_tags,key_fix,key_fix_category,priority_workflows,priority_primary,priority_secondary,clarity_importance,comments,task_time_category,role_Student,role_Administrative_staff,role_Academic_staff_(lecturer),priority_score,role_Academic staff (lecturer),role_Administrative staff,uses_desktop,uses_mobile,open_text_all,tokens,lemmas,themes,clean_text,dominant_topic
2025-11-11 14:55:56.881,Student,Less than 6 months,A few times per month,"Desktop / Laptop, Mobile phone",View grades or exam results,1,View grades or exam results,,Weekly,Not sure,3.5,4,4,1–3 min,120.0,"I can’t find the right menu or label, Mobile view is hard to use",,,,,,"View course schedule, View grades or exam results",,,3,,1.0,1,0,0,12,False,False,1,1,"I can’t find the right menu or label, Mobile view is hard to use","['find', 'right', 'menu', 'label', 'mobile', 'view', 'hard', 'use']","['find', 'right', 'menu', 'label', 'mobile', 'view', 'hard', 'use']","['navigation', 'navigation', 'navigation', 'navigation']",find right menu label mobile view hard use,1
2025-11-11 14:56:01.230,Student,Less than 6 months,A few times per week,Mobile phone,"View grades or exam results, Find a student’s transcript and export it (PDF/CSV)",2,View grades or exam results,,Weekly,3-4,3.5,3,2,1–3 min,120.0,Re-entering the same data / duplicate steps,,,,,,"View grades or exam results, Find a student’s transcript and export it (PDF/CSV)",,,3,,1.0,1,0,0,10,False,False,0,1,Re-entering the same data / duplicate steps,"['data', 'duplicate', 'steps']","['data', 'duplicate', 'step']","['layout_visibility', 'layout_visibility']",data duplicate steps,2
2025-11-11 14:56:06.498,Student,1-3 years,A few times per month,"Desktop / Laptop, Mobile phone","View grades or exam results, Find a student’s transcript and export it (PDF/CSV)",2,Search and register for courses,,A few times per semester,3-4,3.5,4,4,5–10 min,450.0,"I can’t find the right menu or label, Too many pages/tabs for one action",,,,,,Search and register for courses,,,4,"UX design is general is very old school, a bit difficult to understand could be more sophisticated ",3.0,1,0,0,14,False,False,1,1,"I can’t find the right menu or label, Too many pages/tabs for one action UX design is general is very old school, a bit difficult to understand could be more sophisticated","['find', 'right', 'menu', 'label', 'many', 'one', 'action', 'ux', 'design', 'general', 'old', 'school', 'bit', 'difficult', 'understand', 'could', 'sophisticated']","['find', 'right', 'menu', 'label', 'many', 'one', 'action', 'ux', 'design', 'general', 'old', 'school', 'bit', 'difficult', 'understand', 'could', 'sophisticated']","['navigation', 'navigation', 'navigation']",find right menu label many one action ux design general old school bit difficult understand could sophisticated,4
2025-11-11 14:56:13.677,Student,Less than 6 months,A few times per month,"Desktop / Laptop, Mobile phone","Search and register for courses, View grades or exam results",2,View grades or exam results,,Monthly,3-4,3.5,1,3,1–3 min,120.0,"I can’t find the right menu or label, Confusing terminology or unclear field names, Important actions are hidden / too small / far away",,,,,,"View course schedule, View grades or exam results",,,5,,1.0,1,0,0,11,False,False,1,1,"I can’t find the right menu or label, Confusing terminology or unclear field names, Important actions are hidden / too small / far away","['find', 'right', 'menu', 'label', 'confusing', 'terminology', 'unclear', 'field', 'names', 'important', 'actions', 'hidden', 'small', 'far', 'away']","['find', 'right', 'menu', 'label', 'confusing', 'terminology', 'unclear', 'field', 'name', 'important', 'action', 'hidden', 'small', 'far', 'away']","['navigation', 'navigation', 'navigation', 'clarity_terminology', 'clarity_terminology', 'clarity_terminology', 'navigation', 'clarity_terminology', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'layout_visibility']",find right menu label confusing terminology unclear field names important actions hidden small far away,2
2025-11-11 14:56:30.346,Student,1-3 years,A few times per month,"Desktop / Laptop, Mobile phone, Tablet","View grades or exam results, Find a student’s transcript and export it (PDF/CSV)",2,View course schedule,,Monthly,Not sure,3.5,3,5,1–3 min,120.0,"I can’t find the right menu or label, Too many pages/tabs for one action, Confusing terminology or unclear field names, Important actions are hidden / too small / far away, Validation errors are unclear or appear too late, Mobile view is hard to use, Generally, the UX is bad",,"Don’t get stuck, UX issues are the key problem.",,"UX, modernization",,"Search and register for courses, View course schedule",,,4,,1.0,1,0,0,14,False,False,1,1,"I can’t find the right menu or label, Too many pages/tabs for one action, Confusing terminology or unclear field names, Important actions are hidden / too small / far away, Validation errors are unclear or appear too late, Mobile view is hard to use, Generally, the UX is bad Don’t get stuck, UX issues are the key problem. UX, modernization","['find', 'right', 'menu', 'label', 'many', 'one', 'action', 'confusing', 'terminology', 'unclear', 'field', 'names', 'important', 'actions', 'hidden', 'small', 'far', 'away', 'validation', 'errors', 'unclear', 'appear', 'late', 'mobile', 'view', 'hard', 'use', 'generally', 'ux', 'bad', 'get', 'stuck', 'ux', 'issues', 'key', 'problem', 'ux', 'modernization']","['find', 'right', 'menu', 'label', 'many', 'one', 'action', 'confusing', 'terminology', 'unclear', 'field', 'name', 'important', 'action', 'hidden', 'small', 'far', 'away', 'validation', 'error', 'unclear', 'appear', 'late', 'mobile', 'view', 'hard', 'use', 'generally', 'ux', 'bad', 'get', 'stuck', 'ux', 'issue', 'key', 'problem', 'ux', 'modernization']","['navigation', 'navigation', 'navigation', 'clarity_terminology', 'clarity_terminology', 'clarity_terminology', 'navigation', 'clarity_terminology', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'clarity_terminology', 'performance_feedback', 'performance_feedback', 'navigation']",find right menu label many one action confusing terminology unclear field names important actions hidden small far away validation errors unclear appear late mobile view hard use generally ux bad get stuck ux issues key problem ux modernization,2
2025-11-11 14:56:32.131,Student,1-3 years,A few times per month,"Desktop / Laptop, Mobile phone","Search and register for courses, View grades or exam results, Find a student’s transcript and export it (PDF/CSV), Check for school payments and their statuses, as well as fill in surveys after the internship",5,Search and register for courses,,Rarely,Not sure,3.5,3,3,1–3 min,120.0,Important actions are hidden / too small / far away,,,,"I think a fresher interface, something that looks more current age, as I think it looks outdated",,Search and register for courses,,,2,,1.0,1,0,0,13,False,False,1,1,"Important actions are hidden / too small / far away I think a fresher interface, something that looks more current age, as I think it looks outdated","['important', 'actions', 'hidden', 'small', 'far', 'away', 'think', 'fresher', 'interface', 'something', 'looks', 'current', 'age', 'think', 'looks', 'outdated']","['important', 'action', 'hidden', 'small', 'far', 'away', 'think', 'fresher', 'interface', 'something', 'look', 'current', 'age', 'think', 'look', 'outdated']","['layout_visibility', 'layout_visibility', 'layout_visibility', 'layout_visibility']",important actions hidden small far away think fresher interface something looks current age think looks outdated,2
2025-11-11 14:56:39.815,Student,Less than 6 months,A few times per month,"Desktop / Laptop, Mobile phone",View grades or exam results,1,View grades or exam results,,A few times per semester,5-6,5.5,1,4,5–10 min,450.0,"I can’t find the right menu or label, Mobile view is hard to use",,,,,,"View course schedule, View grades or exam results",,,4,,3.0,1,0,0,10,False,False,1,1,"I can’t find the right menu or label, Mobile view is hard to use","['find', 'right', 'menu', 'label', 'mobile', 'view', 'hard', 'use']","['find', 'right', 'menu', 'label', 'mobile', 'view', 'hard', 'use']","['navigation', 'navigation', 'navigation', 'navigation']",find right menu label mobile view hard use,1
2025-11-11 14:57:08.083,Student,Less than 6 months,Rarely,Mobile phone,"View or update personal profile / contact information, Search and register for courses, View course schedule, View grades or exam results",4,Search and register for courses,,Rarely,5-6,5.5,3,3,1–3 min,120.0,Performance is slow at key moments,,,,,,View grades or exam results,,,2,,1.0,1,0,0,12,False,False,0,1,Performance is slow at key moments,"['performance', 'slow', 'key', 'moments']","['performance', 'slow', 'key', 'moment']","['performance_feedback', 'performance_feedback']",performance slow key moments,2
2025-11-11 14:57:27.646,Student,1-3 years,A few times per month,"Desktop / Laptop, Mobile phone",View grades or exam results,1,Search and register for courses,,A few times per semester,3-4,3.5,2,3,< 1 min,240.0,"I can’t find the right menu or label, Too many pages/tabs for one action",,,,,,"Search and register for courses, View course schedule",,,3,,,1,0,0,9,False,False,1,1,"I can’t find the right menu or label, Too many pages/tabs for one action","['find', 'right', 'menu', 'label', 'many', 'one', 'action']","['find', 'right', 'menu', 'label', 'many', 'one', 'action']","['navigation', 'navigation', 'navigation']",find right menu label many one action,1
2025-11-11 14:57:44.341,Student,1-3 years,A few times per week,"Desktop / Laptop, Mobile phone","Search and register for courses, View grades or exam results",2,Search and register for courses,,A few times per semester,3-4,3.5,2,2,< 1 min,240.0,Too many pages/tabs for one action,,,,,,"View or update personal profile / contact information, View course schedule",,,2,,,1,0,0,8,False,False,1,1,Too many pages/tabs for one action,"['many', 'one', 'action']","['many', 'one', 'action']",[],many one action,4
2025-11-11 14:57:44.870,Student,Less than 6 months,A few times per week,"Desktop / Laptop, Mobile phone","Search and register for courses, View grades or exam results, Find a student’s transcript and export it (PDF/CSV)",3,View grades or exam results,,Weekly,3-4,3.5,2,4,1–3 min,120.0,"Too many pages/tabs for one action, Confusing terminology or unclear field names, Important actions are hidden / too small / far away, Mobile view is hard to use",,,,,,"View grades or exam results, Find a student’s transcript and export it (PDF/CSV)",,,5,,1.0,1,0,0,14,False,False,1,1,"Too many pages/tabs for one action, Confusing terminology or unclear field names, Important actions are hidden / too small / far away, Mobile view is hard to use","['many', 'one', 'action', 'confusing', 'terminology', 'unclear', 'field', 'names', 'important', 'actions', 'hidden', 'small', 'far', 'away', 'mobile', 'view', 'hard', 'use']","['many', 'one', 'action', 'confusing', 'terminology', 'unclear', 'field', 'name', 'important', 'action', 'hidden', 'small', 'far', 'away', 'mobile', 'view', 'hard', 'use']","['clarity_terminology', 'clarity_terminology', 'clarity_terminology', 'navigation', 'clarity_terminology', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'navigation']",many one action confusing terminology unclear field names important actions hidden small far away mobile view hard use,2
2025-11-11 14:57:58.301,Administrative staff,3+ years,Rarely,Desktop / Laptop,View or update personal profile / contact information,1,View or update personal profile / contact information,,Weekly,3-4,3.5,1,4,< 1 min,240.0,"I can’t find the right menu or label, Confusing terminology or unclear field names, Important actions are hidden / too small / far away, Validation errors are unclear or appear too late",,"Names / Surnames have to be typed in exactly correct, no suggestions or auto-fill",,"Add auto-fill to fields where values can be predicted - course names, people's names/surnames etc.",,"View or update personal profile / contact information, Search / View course lists",,,5,,,0,1,0,11,False,True,1,0,"I can’t find the right menu or label, Confusing terminology or unclear field names, Important actions are hidden / too small / far away, Validation errors are unclear or appear too late Names / Surnames have to be typed in exactly correct, no suggestions or auto-fill Add auto-fill to fields where values can be predicted - course names, people's names/surnames etc.","['find', 'right', 'menu', 'label', 'confusing', 'terminology', 'unclear', 'field', 'names', 'important', 'actions', 'hidden', 'small', 'far', 'away', 'validation', 'errors', 'unclear', 'appear', 'late', 'names', 'surnames', 'typed', 'exactly', 'correct', 'suggestions', 'add', 'fields', 'values', 'predicted', 'course', 'names', 'people', 'etc']","['find', 'right', 'menu', 'label', 'confusing', 'terminology', 'unclear', 'field', 'name', 'important', 'action', 'hidden', 'small', 'far', 'away', 'validation', 'error', 'unclear', 'appear', 'late', 'name', 'surname', 'typed', 'exactly', 'correct', 'suggestion', 'add', 'field', 'value', 'predicted', 'course', 'name', 'people', 'etc']","['navigation', 'navigation', 'navigation', 'clarity_terminology', 'clarity_terminology', 'clarity_terminology', 'navigation', 'clarity_terminology', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'clarity_terminology', 'performance_feedback', 'performance_feedback', 'clarity_terminology', 'navigation', 'clarity_terminology']",find right menu label confusing terminology unclear field names important actions hidden small far away validation errors unclear appear late names surnames typed exactly correct suggestions add fields values predicted course names people etc,2
2025-11-11 14:59:38.089,Student,1-3 years,A few times per month,Desktop / Laptop,Find a student’s transcript and export it (PDF/CSV),1,View grades or exam results,,Monthly,3-4,3.5,3,4,< 1 min,240.0,"Important actions are hidden / too small / far away, Mobile view is hard to use",,I cannot find how to view my grade transcript using my mobile phone.,,My aforementioned point.,,"Search and register for courses, View grades or exam results",,,4,,,1,0,0,12,False,False,1,0,"Important actions are hidden / too small / far away, Mobile view is hard to use I cannot find how to view my grade transcript using my mobile phone. My aforementioned point.","['important', 'actions', 'hidden', 'small', 'far', 'away', 'mobile', 'view', 'hard', 'use', 'find', 'view', 'grade', 'transcript', 'using', 'mobile', 'phone', 'aforementioned', 'point']","['important', 'action', 'hidden', 'small', 'far', 'away', 'mobile', 'view', 'hard', 'use', 'find', 'view', 'grade', 'transcript', 'using', 'mobile', 'phone', 'aforementioned', 'point']","['layout_visibility', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'navigation', 'navigation', 'navigation']",important actions hidden small far away mobile view hard use find view grade transcript using mobile phone aforementioned point,2
2025-11-11 15:00:41.636,Student,1-3 years,A few times per week,Desktop / Laptop,"Enrol / Unenrol a student in a course, Search / View course lists, Manage tuition payments or invoices (administrators)",3,View course schedule,,Rarely,7+,7.0,5,5,> 10 min,660.0,"I can’t find the right menu or label, Too many pages/tabs for one action, Confusing terminology or unclear field names, Important actions are hidden / too small / far away, Validation errors are unclear or appear too late, Missing or slow system feedback after actions, Re-entering the same data / duplicate steps, Mobile view is hard to use, Performance is slow at key moments, Access or permission issues block me",,,,,,"Enrol / Unenrol a student in a course, Manage tuition payments or invoices (administrators)",,,5,,4.0,1,0,0,18,False,False,1,0,"I can’t find the right menu or label, Too many pages/tabs for one action, Confusing terminology or unclear field names, Important actions are hidden / too small / far away, Validation errors are unclear or appear too late, Missing or slow system feedback after actions, Re-entering the same data / duplicate steps, Mobile view is hard to use, Performance is slow at key moments, Access or permission issues block me","['find', 'right', 'menu', 'label', 'many', 'one', 'action', 'confusing', 'terminology', 'unclear', 'field', 'names', 'important', 'actions', 'hidden', 'small', 'far', 'away', 'validation', 'errors', 'unclear', 'appear', 'late', 'missing', 'slow', 'system', 'feedback', 'actions', 'data', 'duplicate', 'steps', 'mobile', 'view', 'hard', 'use', 'performance', 'slow', 'key', 'moments', 'access', 'permission', 'issues', 'block']","['find', 'right', 'menu', 'label', 'many', 'one', 'action', 'confusing', 'terminology', 'unclear', 'field', 'name', 'important', 'action', 'hidden', 'small', 'far', 'away', 'validation', 'error', 'unclear', 'appear', 'late', 'missing', 'slow', 'system', 'feedback', 'action', 'data', 'duplicate', 'step', 'mobile', 'view', 'hard', 'use', 'performance', 'slow', 'key', 'moment', 'access', 'permission', 'issue', 'block']","['navigation', 'navigation', 'navigation', 'clarity_terminology', 'clarity_terminology', 'clarity_terminology', 'navigation', 'clarity_terminology', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'layout_visibility', 'clarity_terminology', 'performance_feedback', 'performance_feedback', 'performance_feedback', 'performance_feedback', 'performance_feedback', 'layout_visibility', 'layout_visibility', 'navigation', 'performance_feedback', 'performance_feedback', 'permissions_access', 'permissions_access', 'permissions_access']",find right menu label many one action confusing terminology unclear field names important actions hidden small far away validation errors unclear appear late missing slow system feedback actions data duplicate steps mobile view hard use performance slow key moments access permission issues block,2
2025-11-11 15:01:12.067,Student,3+ years,A few times per month,Mobile phone,View grades or exam results,1,View grades or exam results,,Monthly,5-6,5.5,3,3,1–3 min,120.0,Important actions are hidden / too small / far away,,,,,,"Search and register for courses, View grades or exam results",,,1,,1.0,1,0,0,8,False,False,0,1,Important actions are hidden / too small / far away,"['important', 'actions', 'hidden', 'small', 'far', 'away']","['important', 'action', 'hidden', 'small', 'far', 'away']","['layout_visibility', 'layout_visibility', 'layout_visibility', 'layout_visibility']",important actions hidden small far away,2
